"","gene","logfc","ave_expr","p_value","adj_p_value","comparison"
"SELPLG","SELPLG",1.12919088715213,8.93167840453221,9.33365212340945e-16,1.3403209318398e-13,"cid1 - cid0"
"RBMS1","RBMS1",1.06524419030124,8.72760523610063,9.44794249166341e-16,1.3403209318398e-13,"cid1 - cid0"
"A1CF","A1CF",-1.03532371138291,9.40569247430879,9.94698571628867e-16,1.37008250950665e-13,"cid1 - cid0"
"AKR1B1","AKR1B1",1.07366621812195,10.1419833912303,1.04513414425277e-15,1.39657999902912e-13,"cid1 - cid0"
"SLA","SLA",1.09282087208095,8.70650781292884,1.58411228103944e-15,2.02607960744944e-13,"cid1 - cid0"
"BASP1","BASP1",1.35020723356032,10.8955456210189,1.62499376545637e-15,2.03209703337061e-13,"cid1 - cid0"
"CCL28","CCL28",-1.07756907394739,9.15218232220437,1.63421184410459e-15,2.03209703337061e-13,"cid1 - cid0"
"IL7R","IL7R",1.30749598123009,9.63690877308581,1.86352192852888e-15,2.19527787185777e-13,"cid1 - cid0"
"RAI14","RAI14",1.07202494077478,8.48756352303475,2.03142342418173e-15,2.36199141775312e-13,"cid1 - cid0"
"ITGA5","ITGA5",1.14013219318393,9.07336907771945,2.28845909398181e-15,2.59349041372394e-13,"cid1 - cid0"
"ICAM1","ICAM1",1.22629580046193,9.79007358797393,3.20456755007915e-15,3.4988406433974e-13,"cid1 - cid0"
"CHI3L1","CHI3L1",1.92671892336984,10.805468805568,5.14387971216686e-15,5.35501803058487e-13,"cid1 - cid0"
"GALNT12","GALNT12",-1.10301754060451,10.3819603016567,6.6774434007617e-15,6.56957700736478e-13,"cid1 - cid0"
"SPAG4","SPAG4",1.11126743942409,8.10295325223548,6.85657273003936e-15,6.6724886578307e-13,"cid1 - cid0"
"NXPE1","NXPE1",-1.17946696994843,9.97073059267772,7.57811730011709e-15,7.05087457244398e-13,"cid1 - cid0"
"FCGR2B","FCGR2B",1.20909413957136,8.17644780603608,7.71792369149458e-15,7.05087457244398e-13,"cid1 - cid0"
"C2orf88","C2orf88",-1.06086045179906,8.47605792684085,1.03690704290631e-14,9.01303762634966e-13,"cid1 - cid0"
"DCN","DCN",1.22135099806624,11.3410644652249,1.17651983472184e-14,9.93715290591006e-13,"cid1 - cid0"
"ATP2C2","ATP2C2",-1.03537840588125,9.65399157297846,1.24993560319356e-14,1.03920204280006e-12,"cid1 - cid0"
"CHST11","CHST11",1.40680720817932,7.42265535507332,1.25358897154481e-14,1.03920204280006e-12,"cid1 - cid0"
"LILRB3","LILRB3",1.44821459605233,8.56738891401447,1.49100518950319e-14,1.18132473111699e-12,"cid1 - cid0"
"LY96","LY96",1.19562260899863,9.69905448598221,1.58589815354199e-14,1.21317920497843e-12,"cid1 - cid0"
"TWIST1","TWIST1",1.40048889106122,7.61777298581339,1.59908362984022e-14,1.21317920497843e-12,"cid1 - cid0"
"ARHGAP9","ARHGAP9",1.14019555078388,9.54406384630173,1.67553846606534e-14,1.23975999063495e-12,"cid1 - cid0"
"BCL6","BCL6",1.19551862758455,10.0307457230324,1.73814160369337e-14,1.27553948998908e-12,"cid1 - cid0"
"CSF2RB","CSF2RB",1.17797550425842,10.3844425495933,2.1912301198638e-14,1.53266275493286e-12,"cid1 - cid0"
"TMEM154","TMEM154",1.16356863879612,8.4301732073318,2.32541535942026e-14,1.60149567022228e-12,"cid1 - cid0"
"LRRC19","LRRC19",-1.13767529705116,9.54599773689998,2.76288457278878e-14,1.83230411705022e-12,"cid1 - cid0"
"CTHRC1","CTHRC1",1.40884348929994,9.19267840746192,2.83238932499533e-14,1.86458688431494e-12,"cid1 - cid0"
"WISP1","WISP1",1.00034145817173,7.36123049721128,2.9795389849028e-14,1.93392338520658e-12,"cid1 - cid0"
"EXPH5","EXPH5",-1.09139375245466,7.86506450423807,3.26364274570167e-14,2.08709953587622e-12,"cid1 - cid0"
"HSD11B2","HSD11B2",-1.5060090381334,10.1760619081123,3.34318134727966e-14,2.10215888389943e-12,"cid1 - cid0"
"MYO1F","MYO1F",1.06127635095261,9.12285311149837,3.6603225706191e-14,2.24457999827074e-12,"cid1 - cid0"
"AIM2","AIM2",1.23150008690021,8.43667768358235,3.73201142379525e-14,2.27297267192101e-12,"cid1 - cid0"
"COL6A3","COL6A3",1.03064405905614,11.535978885277,4.05062450736603e-14,2.4339088063388e-12,"cid1 - cid0"
"NOX1","NOX1",-1.11281259462915,11.173196504811,4.08951618687017e-14,2.44089589473657e-12,"cid1 - cid0"
"RASSF2","RASSF2",1.04888595537778,8.92254938765131,4.29638190220614e-14,2.54738458082461e-12,"cid1 - cid0"
"CYTIP","CYTIP",1.24585492091352,9.61620683682858,5.27074405711944e-14,3.00566697728601e-12,"cid1 - cid0"
"CHI3L2","CHI3L2",1.30818016692154,7.83205339967375,5.71245359145709e-14,3.17793635693673e-12,"cid1 - cid0"
"SATB2","SATB2",-1.09725337202983,10.2637022970747,6.45778329000729e-14,3.54702661321689e-12,"cid1 - cid0"
"PIK3CD","PIK3CD",1.18540344317303,8.83449922656377,7.95769147984561e-14,4.19089481288575e-12,"cid1 - cid0"
"JAML","JAML",1.02351467382804,8.96186166080914,8.14500973309308e-14,4.23966698490595e-12,"cid1 - cid0"
"SELL","SELL",1.7169932231923,9.84929388466311,8.74092273086164e-14,4.49755639134507e-12,"cid1 - cid0"
"TNFAIP6","TNFAIP6",2.31267200350479,8.54046735925216,1.07026609920867e-13,5.35312423810905e-12,"cid1 - cid0"
"ARHGAP30","ARHGAP30",1.0910045010028,8.61552645139863,1.20424826843553e-13,5.9591374200357e-12,"cid1 - cid0"
"MMP3","MMP3",1.88355200598607,11.9161536074454,1.27582773843741e-13,6.2760910671594e-12,"cid1 - cid0"
"ROBO1","ROBO1",1.06471899305152,9.34189978951916,1.33120946187457e-13,6.47734690878426e-12,"cid1 - cid0"
"DHRS11","DHRS11",-1.08369516576977,9.50247590952947,1.37758752971596e-13,6.66677900191729e-12,"cid1 - cid0"
"PKIB","PKIB",-1.24320627083366,10.0081093148474,1.40950072193683e-13,6.78454836747335e-12,"cid1 - cid0"
"CD53","CD53",1.08774292845561,11.294715688331,1.71177397678747e-13,8.07996722694537e-12,"cid1 - cid0"
"CLDN3","CLDN3",-1.04083389807703,11.4078217053332,1.93347376498234e-13,9.01582844681609e-12,"cid1 - cid0"
"FGR","FGR",1.09506929508702,8.76550185627394,2.06976469880334e-13,9.45438946346242e-12,"cid1 - cid0"
"RHOH","RHOH",1.1977668303875,9.00684765085268,2.35923507313465e-13,1.03540351028306e-11,"cid1 - cid0"
"FLI1","FLI1",1.01557511514255,8.18079144135458,2.39466274488352e-13,1.04582514902157e-11,"cid1 - cid0"
"IL11","IL11",2.91709882338191,7.44584226687861,2.94672709282718e-13,1.25033401242093e-11,"cid1 - cid0"
"LAX1","LAX1",1.04703770559369,8.84617184769762,3.27816156962866e-13,1.35200629011612e-11,"cid1 - cid0"
"LCP1","LCP1",1.10444919940505,10.5448170307159,3.28540339586686e-13,1.35200629011612e-11,"cid1 - cid0"
"TMEM71","TMEM71",1.22701472794491,7.67865772169204,3.87637317306015e-13,1.5155095641226e-11,"cid1 - cid0"
"LRP4","LRP4",-1.26852443412402,8.06196182696666,4.02155280536019e-13,1.5519380287237e-11,"cid1 - cid0"
"FAM65B","FAM65B",1.2496797321436,7.90714082620188,4.13590936463172e-13,1.57787466984456e-11,"cid1 - cid0"
"IL6","IL6",2.12181927736248,8.42354518420321,4.34342428628718e-13,1.64774057775971e-11,"cid1 - cid0"
"FBN1","FBN1",1.42402903650895,7.20598946399662,4.53400836983182e-13,1.70558726618085e-11,"cid1 - cid0"
"PLAU","PLAU",1.0870086316569,10.2073848966179,5.8789491595642e-13,2.13094055974001e-11,"cid1 - cid0"
"STYK1","STYK1",-1.00652749197034,8.80247137201734,6.14100348485499e-13,2.211300929513e-11,"cid1 - cid0"
"COL15A1","COL15A1",1.09092987944416,10.16223957656,8.34038046807456e-13,2.87197793579506e-11,"cid1 - cid0"
"COL6A2","COL6A2",1.0040925635732,10.5573706968267,8.94499658226464e-13,2.99942151314664e-11,"cid1 - cid0"
"RASGRP1","RASGRP1",1.15298631702599,8.32079891876707,9.24226336687835e-13,3.04213176189933e-11,"cid1 - cid0"
"LAMP3","LAMP3",1.31387001052033,9.08965240984669,9.66893593525171e-13,3.15934246088717e-11,"cid1 - cid0"
