"","gene","logfc","ave_expr","p_value","adj_p_value","comparison"
"RAN","RAN",-0.119471614532765,10.3493881335351,0.024286702515423,0.0451586391735374,"cid1 - cid0"
"HBD","HBD",0.376437926539777,7.18294054781002,0.0242997328167947,0.0451705569146384,"cid1 - cid0"
"TMEM176A","TMEM176A",-0.217539460346682,11.2871084783549,0.0243032025754287,0.0451705569146384,"cid1 - cid0"
"RHOT2","RHOT2",0.148795805582269,8.23151169036898,0.0244460890870248,0.0454266989614224,"cid1 - cid0"
"PAFAH1B3","PAFAH1B3",-0.170092098210503,8.51925866734522,0.0244733330722182,0.0454678877351254,"cid1 - cid0"
"MED22","MED22",0.124635041325959,8.00334755354398,0.0245092618897984,0.0455251912239346,"cid1 - cid0"
"MFF","MFF",-0.0985663254274183,9.73604706737259,0.0246362915319184,0.0457516527868213,"cid1 - cid0"
"CHST14","CHST14",0.210475251768509,7.72276001284427,0.0246457568439489,0.045752770469137,"cid1 - cid0"
"SNAPC5","SNAPC5",0.104774560365142,8.80791648104285,0.0246471140369315,0.045752770469137,"cid1 - cid0"
"TRMT10C","TRMT10C",-0.14250017503471,9.13947775288532,0.0246810642899646,0.0458062953126146,"cid1 - cid0"
"RIN1","RIN1",0.157306567370352,7.83636820655911,0.0247712843082882,0.0459590857877972,"cid1 - cid0"
"CYB561","CYB561",-0.148021409957417,9.04924878936199,0.0247740943652145,0.0459590857877972,"cid1 - cid0"
"BCL11A","BCL11A",0.31768692919837,7.58317238675981,0.0247787900254325,0.0459590857877972,"cid1 - cid0"
"APOPT1","APOPT1",-0.122874752748814,8.23855828620975,0.0248268680661925,0.0460387219959863,"cid1 - cid0"
"EPS8L1","EPS8L1",-0.251931103484477,7.6740603266113,0.0249769589456741,0.0463074577429323,"cid1 - cid0"
"C3orf58","C3orf58",-0.138521358779048,9.1918533743783,0.024997766065847,0.0463364388379976,"cid1 - cid0"
"TMEM50A","TMEM50A",-0.129890936609845,10.357474941184,0.0250210646518577,0.0463700252179844,"cid1 - cid0"
"MTMR12","MTMR12",0.130112895812934,7.55915728193007,0.0250380910227438,0.0463919761851459,"cid1 - cid0"
"LRRC32","LRRC32",0.365417536393465,7.50104563329258,0.025073052555081,0.0464471424634058,"cid1 - cid0"
"NPM3","NPM3",-0.183408704202133,8.25176817571657,0.0251124204915425,0.0465104469716135,"cid1 - cid0"
"ACHE","ACHE",-0.393892699009869,6.96433817705343,0.0252201087680239,0.0467002344984732,"cid1 - cid0"
"ZBTB7A","ZBTB7A",-0.184587071836014,7.65051016902009,0.0252404485382811,0.0467282332016607,"cid1 - cid0"
"EIF5B","EIF5B",0.140607852357446,10.4565299498426,0.0252584698853004,0.0467519290641088,"cid1 - cid0"
"RAB7A","RAB7A",0.25676361172755,7.56463508468777,0.0253382993696573,0.0468899946789049,"cid1 - cid0"
"LSM6","LSM6",-0.115127252161336,9.67051149449196,0.0253718421564988,0.0469423647090584,"cid1 - cid0"
"MAP2K1","MAP2K1",-0.100962013043226,10.2014422779656,0.0253862905295229,0.0469593923782684,"cid1 - cid0"
"CRTC2","CRTC2",0.187424423055596,8.13943357635743,0.0254138346985897,0.047000632525609,"cid1 - cid0"
"FECH","FECH",-0.220378647220419,7.01936690738845,0.0254295168147419,0.0470199223548915,"cid1 - cid0"
"NGLY1","NGLY1",0.427078450667839,7.22989836857473,0.0254455794667716,0.0470310759719216,"cid1 - cid0"
"HELZ2","HELZ2",0.209469765376401,8.03400326124649,0.0254460551779279,0.0470310759719216,"cid1 - cid0"
"FBXL4","FBXL4",-0.130899393047139,7.80809740363368,0.0254548631934054,0.0470376450300431,"cid1 - cid0"
"ZNF302","ZNF302",0.13641471055843,8.17067204960018,0.0254966571510735,0.0471051530073383,"cid1 - cid0"
"DNAJC7","DNAJC7",0.257544790732707,8.18291307135711,0.0255244025926112,0.0471466838068183,"cid1 - cid0"
"CALR","CALR",-0.156580252589592,10.2686073504563,0.0255373152394603,0.0471608051441601,"cid1 - cid0"
"CCNDBP1","CCNDBP1",-0.110688916579806,10.1561578891161,0.0255463629141995,0.0471677845268773,"cid1 - cid0"
"PRRG4","PRRG4",-0.180029491001889,8.97381279951671,0.0255908058560964,0.0472400999648724,"cid1 - cid0"
"IGF1","IGF1",0.391119423907044,7.16417785101125,0.0256806110058225,0.047396106026619,"cid1 - cid0"
"FKTN","FKTN",-0.142651328728116,7.7644351947215,0.0257300950997062,0.0474776466256533,"cid1 - cid0"
"PPFIA1","PPFIA1",-0.192191776067511,7.93830093271637,0.0258218181773807,0.0476370777131855,"cid1 - cid0"
"PDSS2","PDSS2",-0.120986079512248,7.650007758506,0.0259180669753466,0.0478047906119239,"cid1 - cid0"
"MBLAC1","MBLAC1",0.205368247045907,7.31547797757755,0.0260353223788475,0.0480111722467192,"cid1 - cid0"
"LRP11","LRP11",-0.124811110008045,9.41703901387816,0.0261198401082097,0.0481571104795719,"cid1 - cid0"
"SH3BP2","SH3BP2",0.148280295289366,8.56342524434858,0.0261455536091502,0.0481913094449959,"cid1 - cid0"
"ODC1","ODC1",-0.201075083035439,12.0767535658339,0.0261491546167531,0.0481913094449959,"cid1 - cid0"
"YTHDF2","YTHDF2",-0.0631892271584817,10.7976105371022,0.0261754322913684,0.0482298096943036,"cid1 - cid0"
"ADIPOR1","ADIPOR1",-0.108086585906287,10.630472663134,0.0262033872622635,0.0482645152018185,"cid1 - cid0"
"EPHA4","EPHA4",-0.479537831986432,6.36037774837418,0.0262050495248565,0.0482645152018185,"cid1 - cid0"
"FERMT1","FERMT1",-0.254920288117722,11.5052493975052,0.0262275108540793,0.0482959491313393,"cid1 - cid0"
"SNRPD1","SNRPD1",-0.143982656723699,10.1944855504422,0.0262744617591278,0.048372456534952,"cid1 - cid0"
"NDRG1","NDRG1",-0.129045495347418,11.6440007461747,0.0263492071596126,0.0485000928659564,"cid1 - cid0"
"METTL13","METTL13",-0.151899394584285,7.88459737593237,0.0263796360064421,0.0485461215140135,"cid1 - cid0"
"TACC1","TACC1",-0.291130437705726,7.47641127696718,0.0264334854239811,0.0486352229759356,"cid1 - cid0"
"ACOT11","ACOT11",-0.329202787168784,7.72801492225816,0.0264399966182423,0.0486372076686098,"cid1 - cid0"
"TMEM200A","TMEM200A",-0.321133606375598,9.19775100238996,0.0264900451103985,0.0487192633264991,"cid1 - cid0"
"TAGLN","TAGLN",0.363178506108722,9.79275828104736,0.026543192811658,0.0488069840301446,"cid1 - cid0"
"GORAB","GORAB",-0.128628621772533,9.08675292599974,0.0265965041378726,0.0488949695167092,"cid1 - cid0"
"DNPH1","DNPH1",-0.187885994503308,9.03977870749911,0.0266226233900905,0.0489329392756067,"cid1 - cid0"
"TM4SF4","TM4SF4",1.11728102410205,5.73012166319927,0.026628462407702,0.0489336256026592,"cid1 - cid0"
"HYI","HYI",-0.132430017896684,8.57598454630519,0.0266668466987526,0.0489941059909567,"cid1 - cid0"
"CHPT1","CHPT1",0.445721321698858,6.88533979028614,0.0267493583703189,0.0491356186888521,"cid1 - cid0"
"SRPK1","SRPK1",-0.106354838130057,8.96635644892835,0.0267860450596094,0.0491929151628067,"cid1 - cid0"
"MT1M","MT1M",-0.425859916074865,7.83691408057956,0.0268272950990467,0.0492585670676303,"cid1 - cid0"
"SLK","SLK",-0.130019724730852,9.80138410475477,0.0268885008740672,0.0493608259843189,"cid1 - cid0"
